YEAR,NPP,NEP,Rh
1900,10.276174412767825,-0.3215770200227387,10.597751432790563
1901,10.720100524536958,2.3249725520205278,8.39512797251643
1902,11.010738712067466,3.2318966428406704,7.778842069226796
1903,11.512583576592217,4.005243661596429,7.507339914995788
1904,12.207691620632206,4.771028088918792,7.436663531713414
1905,13.08733302848194,5.581050103027126,7.506282925454814
1906,14.101005074532432,6.41703257552346,7.683972499008973
1907,15.18514317430578,7.2388006856406095,7.946342488665171
1908,16.27703634087099,8.003733968123091,8.273302372747898
1909,17.32386769824098,8.676803838362167,8.647063859878815
1910,18.28719139554982,9.234552731963838,9.05263866358598
1911,19.143682784724067,9.66535248932144,9.478330295402627
1912,19.883339755483615,9.96767469843218,9.915665057051434
1913,20.50639567495693,10.14758033161904,10.358815343337891
1914,21.01998852192548,10.21617602713,10.80381249479548
1915,21.435243294694946,10.18742083517643,11.247822459518515
1916,21.76504682788404,10.076422013887376,11.688624813996663
1917,22.02253031200081,9.898217603688089,12.124312708312722
1918,22.22013856905166,9.666975110647956,12.553163458403704
1919,22.36913036521641,9.395518224436692,12.973612140779718
1920,22.47936705510961,9.095095447937478,13.384271607172131
1921,22.559279312827968,8.775317003000898,13.78396230982707
1922,22.615937663273748,8.444204266056408,14.17173339721734
1923,22.655174572018076,8.10830567968087,14.546868892337207
1924,22.68172990947576,7.7728502925703955,14.908879616905363
1925,22.69940016054825,7.441915705010114,15.257484455538137
1926,22.71118095554668,7.118595839784343,15.592585115762336
1927,22.7193982038899,6.805160186825266,15.914238017064633
1928,22.72582476248347,6.503198734281381,16.22262602820209
1929,22.731782507104583,6.213750656596151,16.518031850508432
1930,22.738229129406317,5.937415057038137,16.80081407236818
1931,22.74583284166668,5.674446464719564,17.071386376947117
1932,22.75503353228604,5.424833540703538,17.3301999915825
1933,22.7660942520133,5.188365029695402,17.5777292223179
1934,22.779142639709228,4.964682844181968,17.81445979552726
1935,22.79420512300004,4.753325460707497,18.040879662292543
1936,22.81123394237036,4.553762029280679,18.25747191308968
1937,22.830128664298662,4.365419212062936,18.464709452235727
1938,22.85075312462739,4.187702003059218,18.66305112156817
1939,22.872948844538048,4.020009841069824,18.852939003468222
1940,22.89654479764065,3.861748137976161,19.03479665966449
1941,22.92136533397138,3.712337227675845,19.209028106295534
1942,22.947235377353326,3.5712180209594395,19.376017356393888
1943,22.973985137630294,3.4378567379665133,19.53612839966378
1944,23.001452341125567,3.3117468355319435,19.689705505593622
1945,23.02948435716387,3.1924106035549333,19.837073753608937
1946,23.057939445770405,3.079399712597599,19.978539733172806
1947,23.086687218285675,2.9722948662552304,20.114392352030446
1948,23.115608654496945,2.8707049499406656,20.24490370455628
1949,23.14459647210271,2.7742664925855203,20.370329979517187
1950,23.173554060358526,2.6826416880726347,20.49091237228589
1951,23.20239549478358,2.595517511844945,20.606877982938634
1952,23.231044891289272,2.5126041911739363,20.718440700115337
1953,23.25943542800658,2.4336333821905143,20.825802045816065
1954,23.287509080841826,2.358357097512898,20.92915198332893
1955,23.315215536424272,2.2865458530816456,21.028669683342628
1956,23.342511868677743,2.217987623465713,21.12452424521203
1957,23.369361534666147,2.152486161081034,21.216875373585115
1958,23.39573411368918,2.089860102614604,21.305874011074575
1959,23.42160446621537,2.0299415361568696,21.3916629300585
1960,23.44695212105538,1.97257484423044,21.47437727682494
1961,23.471761195641303,1.917616112314068,21.554145083327235
1962,23.49601929946172,1.8649315614197923,21.63108773804193
1963,23.519717744717344,1.814397322778692,21.70532042193865
1964,23.54285058575378,1.7658980725265714,21.776952513227208
1965,23.5654146664882,1.7193267078902663,21.84608795859793
1966,23.58740914046929,1.6745835194988177,21.912825620970473
1967,23.60883515475297,1.6315755570096495,21.97725959774332
1968,23.6296955760633,1.5902160617274763,22.039479514335824
1969,23.649994929682947,1.5504241310421154,22.099570798640833
1970,23.669738880976656,1.5121239483169746,22.15761493265968
1971,23.68893437770241,1.475244691849935,22.213689685852476
1972,23.707589156561166,1.4397198252006742,22.267869331360494
1973,23.7257119495474,1.4054871023558304,22.320224847191568
1974,23.743311901999423,1.3724878008999557,22.370824101099466
1975,23.76039895685164,1.3406669337100237,22.419732023141613
1976,23.776983374070227,1.3099726054058225,22.467010768664405
1977,23.793075703713296,1.2803558395916932,22.512719864121603
1978,23.80868693345583,1.2517705852845824,22.55691634817125
1979,23.823828042778157,1.2241731421051416,22.599654900673016
1980,23.838510296261127,1.197522333590919,22.64098796267021
1981,23.85274489928278,1.1717790496438518,22.680965849638927
1982,23.866543180289295,1.1469063238797048,22.71963685640959
1983,23.87991648046149,1.1228691220618523,22.757047358399635
1984,23.89287594005753,1.0996340381625416,22.793241901894987
1985,23.905432738299112,1.07716944785048,22.828263290448632
1986,23.917597867981307,1.0554452006400796,22.862152667341228
1987,23.92938225488656,1.0344326628560985,22.89494959203046
1988,23.940796636541727,1.0141045235977983,22.92669211294393
1989,23.95185153792021,0.9944347038247278,22.957416834095483
1990,23.96255740308785,0.9753984228597944,22.987158980228056
1991,23.97292436152472,0.9569719045832074,23.015952456941513
1992,23.98296237941673,0.9391324730796804,23.04382990633705
1993,23.99268128501166,0.9218585218026992,23.07082276320896
1994,24.00209064616101,0.905129339274956,23.096961306886055
1995,24.011199718216567,0.8889250111520524,23.122274707064513
1996,24.02001762638097,0.8732265567794163,23.14679106960155
1997,24.028553317966274,0.8580158351502102,23.170537482816066
1998,24.036815391173032,0.8432753335304689,23.193540057642565
1999,24.044812316359877,0.82898835003932,23.215823966320556
2000,24.05255231749221,0.8151388362180219,23.23741348127419
2001,24.060043307550423,0.8017112989048073,23.258332008645617
2002,24.06729316430904,0.7886910402771151,23.278602124031924
2003,24.07430939741592,0.7760637917758161,23.298245605640105
2004,24.081099370134496,0.7638159066611622,23.317283463473334
2005,24.08767011227425,0.7519341445645085,23.33573596770974
2006,24.094028706560632,0.7404060270936302,23.353622679467
2007,24.100181775790283,0.7292192979105283,23.370962477879754
2008,24.106135897120623,0.7183623132791351,23.387773583841486
2009,24.111897360271183,0.7078237746536927,23.40407358561749
2010,24.11747231161633,0.6975928500563903,23.419879461559937
2011,24.12286675993904,0.6876591554403296,23.43520760449871
2012,24.128086409654404,0.678012567683368,23.450073841971037
2013,24.133136916379385,0.668643459377409,23.464493457001975
2014,24.13802368469008,0.6595424758818299,23.47848120880825
2015,24.14275199244419,0.6507006412184816,23.492051351225708
2016,24.147326913376997,0.6421092624144163,23.50521765096258
2017,24.151753347092164,0.6337599431220359,23.517993403970127
2018,24.156036122764416,0.6256446691012895,23.530391453663125
2019,24.1601799656554,0.6177557559808381,23.54242420967456
2020,24.164189174205344,0.610085515332969,23.554103658872375
2021,24.168068235476778,0.6026268543039439,23.565441381172832
2022,24.171821285677687,0.5953727195507148,23.576448566126974
2023,24.175452503821923,0.5883164777255114,23.58713602609641
2024,24.17896566760186,0.5814514598413566,23.597514207760504
2025,24.18236472095825,0.5747715158631932,23.607593205095057
2026,24.185653344651737,0.5682705699877031,23.617382774664033
2027,24.18883513743896,0.5619427919131359,23.626892345525825
2028,24.191913442766985,0.5557824142824309,23.636131028484556
2029,24.194891811966567,0.5497841814656695,23.6451076305009
2030,24.197773277860755,0.5439426142609362,23.65383066359982
2031,24.20056120472104,0.5382528493069839,23.662308355414055
2032,24.203258413881372,0.5327097549876003,23.67054865889377
2033,24.205868011781867,0.5273087511251532,23.678559260656712
2034,24.20839274571962,0.5220451533893934,23.68634759233023
2035,24.210835469001864,0.5169146308632316,23.693920838138634
2036,24.21319876918636,0.5119128255160702,23.70128594367029
2037,24.215485225799345,0.5070356035894202,23.708449622209926
2038,24.217697396499688,0.5022790312897573,23.71541836520993
2039,24.219837622701927,0.4976391742212959,23.722198448480633
2040,24.22190830079603,0.4931123612454403,23.72879593955059
2041,24.22391170945603,0.4886950030985837,23.735216706357445
2042,24.22584997314228,0.4843835513837822,23.7414664217585
2043,24.22772525099667,0.4801746804188191,23.74755057057785
2044,24.229539556409097,0.476065099976846,23.75347445643225
2045,24.231294876217508,0.4720516691018845,23.759243207115624
2046,24.23299324024376,0.4681314568188889,23.764861783424873
2047,24.234636356667803,0.4643013746995376,23.770334981968265
2048,24.23622603168876,0.4605585931170908,23.775667438571666
2049,24.237764149420165,0.4569005101652918,23.780863639254875
2050,24.239252200082998,0.4533242784210676,23.78592792166193
